state,district,total_enrolment,population,adoption_gap_score,risk_flag
Andhra Pradesh,Nalgonda,1167,29844.0,0.9608966626457579,High Risk
Andhra Pradesh,Nandyal,905,27385.0,0.966952711338324,High Risk
Andhra Pradesh,Nellore,5367,68123.0,0.9212160357001307,High Risk
Andhra Pradesh,Nizamabad,524,5541.0,0.9054322324490164,High Risk
Andhra Pradesh,Palnadu,860,25495.0,0.9662678956658168,High Risk
Andhra Pradesh,Parvathipuram Manyam,508,9391.0,0.9459056543499095,High Risk
Andhra Pradesh,Prakasam,7623,120498.0,0.9367375392122691,High Risk
Andhra Pradesh,Rangareddi,1884,22265.0,0.9153828879407141,High Risk
Andhra Pradesh,Spsr Nellore,2183,,0.0,Low Risk
Andhra Pradesh,Sri Potti Sriramulu Nellore,1614,22065.0,0.9268524813052346,High Risk
Andhra Pradesh,Sri Sathya Sai,938,22107.0,0.9575700004523454,High Risk
Andhra Pradesh,Srikakulam,4300,135699.0,0.9683122204290378,High Risk
Andhra Pradesh,Tirupati,1719,33230.0,0.9482696358712007,High Risk
Andhra Pradesh,Visakhapatanam,226,,0.0,Low Risk
Andhra Pradesh,Visakhapatnam,8178,157193.0,0.9479747825921001,High Risk
Andhra Pradesh,Vizianagaram,3856,78887.0,0.9511199563933221,High Risk
Andhra Pradesh,Warangal,1059,34766.0,0.9695392049703734,High Risk
Andhra Pradesh,West Godavari,5935,126806.0,0.9531962209990064,High Risk
Andhra Pradesh,Y. S. R,823,28186.0,0.9708011069325196,High Risk
Arunachal Pradesh,Anjaw,37,760.0,0.9513157894736842,High Risk
Arunachal Pradesh,Changlang,803,5659.0,0.8581021381869588,High Risk
Arunachal Pradesh,Dibang Valley,10,160.0,0.9375,High Risk
Arunachal Pradesh,East Kameng,181,1422.0,0.8727144866385372,High Risk
Arunachal Pradesh,East Siang,168,2503.0,0.9328805433479824,High Risk
Arunachal Pradesh,Kamle,30,318.0,0.9056603773584906,High Risk
Arunachal Pradesh,Kra Daadi,81,514.0,0.8424124513618677,High Risk
Arunachal Pradesh,Kurung Kumey,75,335.0,0.7761194029850746,High Risk
Arunachal Pradesh,Leparada,3,23.0,0.8695652173913043,High Risk
Arunachal Pradesh,Lohit,166,1866.0,0.9110396570203644,High Risk
Arunachal Pradesh,Longding,897,1485.0,0.39595959595959596,Medium Risk
Arunachal Pradesh,Lower Dibang Valley,109,1157.0,0.9057908383751081,High Risk
Arunachal Pradesh,Lower Siang,31,339.0,0.9085545722713865,High Risk
Arunachal Pradesh,Lower Subansiri,105,1521.0,0.9309664694280079,High Risk
Arunachal Pradesh,Namsai,150,2135.0,0.9297423887587822,High Risk
Arunachal Pradesh,Pakke Kessang,4,87.0,0.9540229885057472,High Risk
Arunachal Pradesh,Papum Pare,447,4922.0,0.9091832588378708,High Risk
Arunachal Pradesh,Shi-Yomi,35,238.0,0.8529411764705882,High Risk
Arunachal Pradesh,Siang,103,777.0,0.8674388674388674,High Risk
Arunachal Pradesh,Tawang,154,951.0,0.8380651945320715,High Risk
Arunachal Pradesh,Tirap,99,990.0,0.9,High Risk
Arunachal Pradesh,Upper Siang,43,1321.0,0.967448902346707,High Risk
Arunachal Pradesh,Upper Subansiri,143,1549.0,0.907682375726275,High Risk
Arunachal Pradesh,West Kameng,278,1859.0,0.8504572350726197,High Risk
Arunachal Pradesh,West Siang,192,3552.0,0.9459459459459459,High Risk
Assam,Bajali,29,844.0,0.9656398104265402,High Risk
Assam,Baksa,3699,17012.0,0.7825652480601928,High Risk
Assam,Barpeta,14383,59142.0,0.756805654188225,High Risk
Assam,Biswanath,1329,11025.0,0.8794557823129252,High Risk
Assam,Bongaigaon,3175,39124.0,0.9188477660770882,High Risk
Assam,Cachar,17514,58019.0,0.6981333701028973,High Risk
Assam,Charaideo,1189,9913.0,0.8800564914758398,High Risk
Assam,Chirang,3348,13397.0,0.7500933044711502,High Risk
Assam,Darrang,7595,28319.0,0.7318055016066951,High Risk
Assam,Dhemaji,6901,22349.0,0.6912166092442615,High Risk
Assam,Dhubri,12646,80799.0,0.8434881619822028,High Risk
Assam,Dibrugarh,7062,26519.0,0.7337003657754817,High Risk
Assam,Dima Hasao,250,280.0,0.1071428571428571,Low Risk
Assam,Goalpara,9898,40567.0,0.7560085784011635,High Risk
Assam,Golaghat,11505,27924.0,0.5879888268156425,Medium Risk
Assam,Hailakandi,5578,21302.0,0.7381466528964417,High Risk
Assam,Hojai,7050,25308.0,0.7214319582740636,High Risk
Assam,Jorhat,4887,19788.0,0.7530321406913281,High Risk
Assam,Kamrup,13666,44584.0,0.6934774807105688,High Risk
Assam,Kamrup Metro,6046,26191.0,0.7691573441258448,High Risk
Assam,Karbi Anglong,8107,31121.0,0.7395006587191928,High Risk
Assam,Karimganj,14833,41414.0,0.6418360940744676,High Risk
Assam,Kokrajhar,4609,22669.0,0.7966826944285147,High Risk
Assam,Lakhimpur,7199,35412.0,0.7967073308483,High Risk
Assam,Majuli,515,3281.0,0.8430356598597988,High Risk
Assam,Marigaon,10487,43810.0,0.7606254279844784,High Risk
Assam,Nagaon,12873,97377.0,0.8678024584860902,High Risk
Assam,Nalbari,3881,20961.0,0.8148466199131721,High Risk
Assam,North Cachar Hills,1058,3599.0,0.7060294526257294,High Risk
Assam,Sibsagar,2737,13070.0,0.7905891354246366,High Risk
Assam,Sivasagar,422,,0.0,Low Risk
Assam,Sonitpur,9197,43576.0,0.7889434551129062,High Risk
Assam,South Salmara Mankachar,1472,21047.0,0.9300612913954482,High Risk
Assam,Sribhumi,169,5087.0,0.9667780617259681,High Risk
Assam,Tamulpur District,55,1268.0,0.9566246056782335,High Risk
Assam,Tinsukia,8384,35249.0,0.7621492808306618,High Risk
Assam,Udalguri,4565,19780.0,0.769211324570273,High Risk
Assam,West Karbi Anglong,1884,1451.0,0.0,Low Risk
Bihar,Araria,15579,155315.0,0.899694169912758,High Risk
Bihar,Arwal,3866,27770.0,0.8607850198055456,High Risk
Bihar,Aurangabad,10170,105840.0,0.9039115646258503,High Risk
Bihar,Aurangabad(Bh),113,694.0,0.8371757925072046,High Risk
Bihar,Banka,11074,98120.0,0.8871381981247453,High Risk
Bihar,Begusarai,13209,132990.0,0.9006767426122265,High Risk
Bihar,Bhabua,31,132.0,0.7651515151515151,High Risk
Bihar,Bhagalpur,21062,155026.0,0.8641389186330035,High Risk
Bihar,Bhojpur,13357,142341.0,0.9061619631729438,High Risk
Bihar,Buxar,7240,73902.0,0.9020324213147141,High Risk
Bihar,Darbhanga,15765,153928.0,0.8975819863832442,High Risk
Bihar,East Champaran,29323,248028.0,0.8817754447078556,High Risk
Bihar,Gaya,27401,195174.0,0.859607324746124,High Risk
Bihar,Gopalganj,15148,105867.0,0.8569148082027449,High Risk
Bihar,Jamui,10382,66920.0,0.8448595337716677,High Risk
Bihar,Jehanabad,4883,46361.0,0.8946744030542914,High Risk
Bihar,Kaimur (Bhabua),7825,67018.0,0.8832403234951804,High Risk
Bihar,Katihar,16350,180294.0,0.9093147858497787,High Risk
Bihar,Khagaria,8196,75624.0,0.891621707394478,High Risk
Bihar,Kishanganj,8764,145141.0,0.9396173376234145,High Risk
Bihar,Lakhisarai,6155,48883.0,0.8740871059468527,High Risk
Bihar,Madhepura,9027,91861.0,0.9017319645986872,High Risk
Bihar,Madhubani,25930,181691.0,0.8572851709770984,High Risk
Bihar,Monghyr,49,282.0,0.8262411347517731,High Risk
Bihar,Munger,6087,55947.0,0.8912006005683951,High Risk
Bihar,Muzaffarpur,28855,206917.0,0.8605479491776896,High Risk
Bihar,Nalanda,14575,153043.0,0.904765327391648,High Risk
Bihar,Nawada,15413,86518.0,0.8218521001410111,High Risk
Bihar,Pashchim Champaran,16359,1120.0,0.0,Low Risk
Bihar,Patna,24644,243772.0,0.8989055346799468,High Risk
Bihar,Purba Champaran,127,934.0,0.8640256959314775,High Risk
Bihar,Purbi Champaran,14871,,0.0,Low Risk
Bihar,Purnea,257,2806.0,0.9084105488239487,High Risk
Bihar,Purnia,20100,143374.0,0.8598072174871316,High Risk
Bihar,Rohtas,7939,117745.0,0.932574631619177,High Risk
Bihar,Saharsa,13063,81177.0,0.839080034985279,High Risk
Bihar,Samastipur,19207,202292.0,0.9050530915706009,High Risk
Bihar,Samstipur,82,448.0,0.8169642857142857,High Risk
Bihar,Saran,24218,169845.0,0.8574111690070358,High Risk
Bihar,Sheikhpura,3199,28088.0,0.8861079464540017,High Risk
Bihar,Sheikpura,29,178.0,0.8370786516853932,High Risk
Bihar,Sheohar,3262,31480.0,0.8963786531130877,High Risk
Bihar,Sitamarhi,42232,169848.0,0.7513541519476238,High Risk
Bihar,Siwan,15311,123722.0,0.876246746738656,High Risk
Bihar,Supaul,10411,106911.0,0.9026199362086221,High Risk
Bihar,Vaishali,18007,155594.0,0.8842693162975436,High Risk
Bihar,West Champaran,30438,233389.0,0.8695825424505867,High Risk
Chandigarh,Chandigarh,2720,83336.0,0.9673610444465777,High Risk
Chandigarh,Rupnagar,3,20.0,0.85,High Risk
Chhattisgarh,Balod,1678,59734.0,0.9719087956607627,High Risk
Chhattisgarh,Baloda Bazar,4944,116270.0,0.9574782833060979,High Risk
Chhattisgarh,Balrampur,6190,60301.0,0.8973483026815475,High Risk
Chhattisgarh,Bastar,6608,79431.0,0.9168082990268283,High Risk
Chhattisgarh,Bemetara,2771,58693.0,0.9527882370981208,High Risk
Chhattisgarh,Bijapur,6724,13047.0,0.48463248256304137,Medium Risk
Chhattisgarh,Bilaspur,8941,153341.0,0.941692045832491,High Risk
Chhattisgarh,Dakshin Bastar Dantewada,1224,5896.0,0.7924016282225237,High Risk
Chhattisgarh,Dantewada,710,2398.0,0.7039199332777315,High Risk
Chhattisgarh,Dhamtari,1968,44713.0,0.9559859548677119,High Risk
Chhattisgarh,Durg,4095,77149.0,0.9469208933362714,High Risk
Chhattisgarh,Gariyaband,1542,27599.0,0.944128410449654,High Risk
Chhattisgarh,Gaurela-Pendra-Marwahi,140,3425.0,0.9591240875912409,High Risk
Chhattisgarh,Gaurella Pendra Marwahi,983,,0.0,Low Risk
Chhattisgarh,Janjgir - Champa,33,215.0,0.8465116279069768,High Risk
Chhattisgarh,Janjgir Champa,25,236.0,0.8940677966101696,High Risk
Chhattisgarh,Janjgir-Champa,4639,112160.0,0.9586394436519258,High Risk
Chhattisgarh,Jashpur,2543,71023.0,0.9641946974923616,High Risk
Chhattisgarh,Kabeerdham,955,27101.0,0.964761447917051,High Risk
Chhattisgarh,Kanker,1705,28840.0,0.940880721220527,High Risk
Chhattisgarh,Kawardha,2142,67000.0,0.9680298507462687,High Risk
Chhattisgarh,Khairagarh Chhuikhadan Gandai,246,6103.0,0.9596919547763395,High Risk
Chhattisgarh,Kondagaon,3038,61964.0,0.9509715318572074,High Risk
Chhattisgarh,Korba,3542,83374.0,0.9575167318348646,High Risk
Chhattisgarh,Koriya,1763,31735.0,0.9444461950527808,High Risk
Chhattisgarh,Mahasamund,3361,134887.0,0.9750828471238889,High Risk
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,294,5113.0,0.9424995110502641,High Risk
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,14,181.0,0.9226519337016574,High Risk
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,259,19811.0,0.9869264549997476,High Risk
Chhattisgarh,Mungeli,2957,70564.0,0.958094779207528,High Risk
Chhattisgarh,Narayanpur,762,16765.0,0.9545481658216523,High Risk
Chhattisgarh,Raigarh,4956,83436.0,0.9406011793470445,High Risk
Chhattisgarh,Raipur,7041,133007.0,0.9470629365371748,High Risk
Chhattisgarh,Rajnandgaon,4185,148118.0,0.9717455002092926,High Risk
Chhattisgarh,Sakti,455,9685.0,0.9530201342281879,High Risk
Chhattisgarh,Sarangarh-Bilaigarh,186,8055.0,0.9769087523277468,High Risk
Chhattisgarh,Sukma,2179,12746.0,0.8290444060881845,High Risk
Chhattisgarh,Surajpur,2977,42067.0,0.9292319395250433,High Risk
Chhattisgarh,Surguja,3556,115683.0,0.9692608248402963,High Risk
Chhattisgarh,Uttar Bastar Kanker,888,13568.0,0.9345518867924528,High Risk
Dadra & Nagar Haveli,Dadra & Nagar Haveli,25,235.0,0.8936170212765957,High Risk
Dadra And Nagar Haveli,Dadra And Nagar Haveli,744,6033.0,0.8766782695176529,High Risk
Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,88,1689.0,0.9478981645944345,High Risk
Dadra And Nagar Haveli And Daman And Diu,Daman,63,1687.0,0.9626556016597511,High Risk
Dadra And Nagar Haveli And Daman And Diu,Diu,22,364.0,0.9395604395604396,High Risk
Daman & Diu,Daman,9,377.0,0.9761273209549072,High Risk
Daman & Diu,Diu,12,267.0,0.9550561797752809,High Risk
Daman And Diu,Daman,58,1104.0,0.947463768115942,High Risk
Daman And Diu,Diu,62,448.0,0.8616071428571428,High Risk
Delhi,Central Delhi,3947,49047.0,0.9195261687768874,High Risk
Delhi,East Delhi,10736,187061.0,0.9426069570888641,High Risk
Delhi,Najafgarh,30,195.0,0.8461538461538461,High Risk
Delhi,New Delhi,1637,4061.0,0.5968973159320364,Medium Risk
Delhi,North Delhi,4459,86900.0,0.9486881472957422,High Risk
Delhi,North East,1738,11827.0,0.8530481102561934,High Risk
Delhi,North East   *,2,,0.0,Low Risk
Delhi,North East Delhi,12113,141148.0,0.9141822767591464,High Risk
Delhi,North West Delhi,16043,313989.0,0.9489058533897684,High Risk
Delhi,Shahdara,1700,28544.0,0.9404428251121076,High Risk
Delhi,South Delhi,13395,213489.0,0.9372567204867698,High Risk
Delhi,South East Delhi,60,1169.0,0.9486740804106073,High Risk
Delhi,South West Delhi,9255,169699.0,0.9454622596479649,High Risk
Delhi,West Delhi,19414,231805.0,0.9162485709971744,High Risk
Goa,Bardez,2,31.0,0.935483870967742,High Risk
Goa,North Goa,1354,18843.0,0.9281430770047232,High Risk
Goa,South Goa,977,16238.0,0.9398324916861682,High Risk
Gujarat,Ahmadabad,6667,7760.0,0.14085051546391758,Low Risk
Gujarat,Ahmedabad,19130,267884.0,0.928588493527049,High Risk
Gujarat,Amreli,4293,27888.0,0.8460628227194492,High Risk
Gujarat,Anand,6980,39149.0,0.8217068124345449,High Risk
Gujarat,Arvalli,2391,8096.0,0.7046689723320159,High Risk
Gujarat,Banas Kantha,13498,473.0,0.0,Low Risk
Gujarat,Banaskantha,17360,75207.0,0.7691704229659473,High Risk
Gujarat,Bharuch,4351,49806.0,0.9126410472633819,High Risk
Gujarat,Bhavnagar,10174,57862.0,0.8241678476374823,High Risk
Gujarat,Botad,2947,7545.0,0.6094102054340622,High Risk
Gujarat,Chhotaudepur,4107,9631.0,0.5735645312013291,Medium Risk
Gujarat,Dahod,10509,35936.0,0.7075634461264471,High Risk
Gujarat,Dang,872,,0.0,Low Risk
Gujarat,Devbhumi Dwarka,2490,6586.0,0.6219252960825994,High Risk
Gujarat,Dohad,13003,5212.0,0.0,Low Risk
Gujarat,Gandhinagar,5650,64588.0,0.9125224499907103,High Risk
Gujarat,Gir Somnath,5723,12066.0,0.5256920271838224,Medium Risk
Gujarat,Jamnagar,6078,45719.0,0.8670574596994685,High Risk
Gujarat,Junagadh,5536,38045.0,0.8544881061900381,High Risk
Gujarat,Kachchh,9302,66789.0,0.8607255685816526,High Risk
Gujarat,Kheda,7567,52619.0,0.8561926300385793,High Risk
Gujarat,Mahesana,6490,50217.0,0.8707608977039648,High Risk
Gujarat,Mahisagar,2563,7507.0,0.6585853203676568,High Risk
Gujarat,Morbi,8004,19799.0,0.5957371584423456,Medium Risk
Gujarat,Narmada,1280,14757.0,0.913261503015518,High Risk
Gujarat,Navsari,2757,29602.0,0.9068644010539828,High Risk
Gujarat,Panch Mahals,1402,417.0,0.0,Low Risk
Gujarat,Panchmahals,6279,32470.0,0.8066214967662457,High Risk
Gujarat,Patan,8967,29559.0,0.6966406170709429,High Risk
Gujarat,Porbandar,2519,14623.0,0.827737126444642,High Risk
Gujarat,Rajkot,17070,137600.0,0.8759447674418605,High Risk
Gujarat,Sabar Kantha,2437,643.0,0.0,Low Risk
Gujarat,Sabarkantha,5115,43877.0,0.883424117419149,High Risk
Gujarat,Surat,25469,357582.0,0.9287743790235526,High Risk
Gujarat,Surendra Nagar,6855,38759.0,0.823137851853763,High Risk
Gujarat,Surendranagar,1442,913.0,0.0,Low Risk
Gujarat,Tapi,2212,12190.0,0.8185397867104184,High Risk
Gujarat,The Dangs,1328,6581.0,0.7982069594286583,High Risk
Gujarat,Vadodara,12284,100027.0,0.8771931578473812,High Risk
Gujarat,Valsad,7448,48343.0,0.8459342614235774,High Risk
Haryana,Ambala,3218,33242.0,0.9031947536249323,High Risk
Haryana,Bhiwani,3489,34280.0,0.898220536756126,High Risk
Haryana,Charkhi Dadri,858,12095.0,0.9290615957007028,High Risk
Haryana,Faridabad,16155,160555.0,0.8993802746722307,High Risk
Haryana,Fatehabad,2612,41970.0,0.9377650702883011,High Risk
Haryana,Gurgaon,6861,119213.0,0.9424475518609547,High Risk
Haryana,Gurugram,2636,,0.0,Low Risk
Haryana,Hisar,5234,63206.0,0.9171914058791887,High Risk
Haryana,Jhajjar,2624,32384.0,0.9189723320158103,High Risk
Haryana,Jhajjar *,1,,0.0,Low Risk
Haryana,Jind,3821,44013.0,0.9131847408720151,High Risk
Haryana,Kaithal,2991,39974.0,0.925176364637014,High Risk
Haryana,Karnal,4048,49131.0,0.9176080275182675,High Risk
Haryana,Kurukshetra,2404,28709.0,0.9162631927270194,High Risk
Haryana,Mahendragarh,2754,28534.0,0.9034835634681433,High Risk
Haryana,Mewat,7558,66667.0,0.8866305668471658,High Risk
Haryana,Nuh,1506,,0.0,Low Risk
Haryana,Palwal,4703,68968.0,0.9318089548776244,High Risk
Haryana,Panchkula,1384,34418.0,0.9597884827706433,High Risk
Haryana,Panipat,6088,69084.0,0.9118753980661224,High Risk
Haryana,Rewari,2485,44031.0,0.9435624900638186,High Risk
Haryana,Rohtak,3413,26531.0,0.8713580339979646,High Risk
Haryana,Sirsa,3335,55162.0,0.9395417134984229,High Risk
Haryana,Sonipat,4619,60664.0,0.9238592905182645,High Risk
Haryana,Yamuna Nagar,3396,52881.0,0.9357803369830374,High Risk
Haryana,Yamunanagar,59,428.0,0.8621495327102804,High Risk
Himachal Pradesh,Bilaspur,999,6760.0,0.8522189349112426,High Risk
Himachal Pradesh,Chamba,1657,19658.0,0.9157086173568013,High Risk
Himachal Pradesh,Hamirpur,1198,7320.0,0.8363387978142076,High Risk
Himachal Pradesh,Kangra,3966,34127.0,0.8837870307967298,High Risk
Himachal Pradesh,Kinnaur,163,1169.0,0.8605645851154833,High Risk
Himachal Pradesh,Kullu,1239,9602.0,0.870964382420329,High Risk
Himachal Pradesh,Lahaul And Spiti,3,59.0,0.9491525423728814,High Risk
Himachal Pradesh,Lahul & Spiti,38,277.0,0.8628158844765343,High Risk
Himachal Pradesh,Lahul And Spiti,32,233.0,0.8626609442060086,High Risk
Himachal Pradesh,Mandi,2514,16305.0,0.8458141674333026,High Risk
Himachal Pradesh,Shimla,1670,15742.0,0.893914369203405,High Risk
Himachal Pradesh,Sirmaur,1584,19418.0,0.9184262024925327,High Risk
Himachal Pradesh,Solan,1176,8983.0,0.8690860514304798,High Risk
Himachal Pradesh,Una,1247,9561.0,0.8695743123104278,High Risk
Jammu & Kashmir,Anantnag,4,11.0,0.6363636363636364,High Risk
Jammu & Kashmir,Badgam,2,5.0,0.6,Medium Risk
Jammu & Kashmir,Bandipur,2,,0.0,Low Risk
Jammu & Kashmir,Baramula,47,105.0,0.5523809523809524,Medium Risk
Jammu & Kashmir,Doda,2,5.0,0.6,Medium Risk
Jammu & Kashmir,Jammu,62,193.0,0.6787564766839378,High Risk
Jammu & Kashmir,Kargil,4,11.0,0.6363636363636364,High Risk
Jammu & Kashmir,Kathua,8,48.0,0.8333333333333334,High Risk
Jammu & Kashmir,Kupwara,9,7.0,0.0,Low Risk
Jammu & Kashmir,Leh (Ladakh),3,7.0,0.5714285714285714,Medium Risk
Jammu & Kashmir,Pulwama,4,1.0,0.0,Low Risk
Jammu & Kashmir,Punch,1,5.0,0.8,High Risk
Jammu & Kashmir,Rajauri,2,15.0,0.8666666666666667,High Risk
Jammu & Kashmir,Srinagar,3,10.0,0.7,High Risk
Jammu & Kashmir,Udhampur,2,3.0,0.33333333333333337,Medium Risk
Jammu And Kashmir,Anantnag,3350,35555.0,0.9057797778090283,High Risk
Jammu And Kashmir,Badgam,1865,12114.0,0.8460458973088988,High Risk
Jammu And Kashmir,Bandipore,1639,15894.0,0.8968793255316472,High Risk
Jammu And Kashmir,Baramula,3747,36690.0,0.8978740801308258,High Risk
Jammu And Kashmir,Budgam,859,18622.0,0.9538717645795296,High Risk
Jammu And Kashmir,Doda,4502,11372.0,0.6041153710868801,High Risk
Jammu And Kashmir,Ganderbal,843,7529.0,0.8880329393013681,High Risk
Jammu And Kashmir,Jammu,4558,34923.0,0.8694842940182688,High Risk
Jammu And Kashmir,Kargil,526,2045.0,0.7427872860635697,High Risk
Jammu And Kashmir,Kathua,2954,20430.0,0.8554087126774351,High Risk
Jammu And Kashmir,Kishtwar,1269,5868.0,0.7837423312883436,High Risk
Jammu And Kashmir,Kulgam,1211,12407.0,0.9023938099459983,High Risk
Jammu And Kashmir,Kupwara,2875,45130.0,0.936295147352094,High Risk
Jammu And Kashmir,Leh,206,1427.0,0.8556412053258584,High Risk
Jammu And Kashmir,Pulwama,1871,21486.0,0.9129200409569022,High Risk
Jammu And Kashmir,Punch,2629,23435.0,0.8878173671858332,High Risk
Jammu And Kashmir,Rajouri,2674,15808.0,0.8308451417004048,High Risk
Jammu And Kashmir,Ramban,1920,7754.0,0.7523858653598143,High Risk
Jammu And Kashmir,Reasi,1715,8400.0,0.7958333333333334,High Risk
Jammu And Kashmir,Samba,588,5120.0,0.88515625,High Risk
Jammu And Kashmir,Shopian,412,,0.0,Low Risk
Jammu And Kashmir,Shupiyan,666,8207.0,0.918849762397953,High Risk
Jammu And Kashmir,Srinagar,3256,39706.0,0.9179972800080592,High Risk
Jammu And Kashmir,Udhampur,2806,16850.0,0.8334718100890208,High Risk
Jharkhand,Bokaro,5800,70673.0,0.9179318834632745,High Risk
Jharkhand,Bokaro *,2,,0.0,Low Risk
Jharkhand,Chatra,6302,47296.0,0.8667540595399188,High Risk
Jharkhand,Deoghar,8324,60060.0,0.8614052614052614,High Risk
Jharkhand,Dhanbad,11031,107797.0,0.8976687662921974,High Risk
Jharkhand,Dumka,5825,59658.0,0.9023601193469443,High Risk
Jharkhand,East Singhbhum,8191,60660.0,0.8649686778766897,High Risk
Jharkhand,East Singhbum,1447,,0.0,Low Risk
Jharkhand,Garhwa,6073,40273.0,0.8492041814615251,High Risk
Jharkhand,Garhwa *,381,2116.0,0.8199432892249527,High Risk
Jharkhand,Giridih,14303,125671.0,0.8861869484606631,High Risk
Jharkhand,Godda,5390,57677.0,0.9065485375452953,High Risk
Jharkhand,Gumla,6701,46753.0,0.8566722991038008,High Risk
Jharkhand,Hazaribag,566,9726.0,0.941805469874563,High Risk
Jharkhand,Hazaribagh,6204,66645.0,0.9069097456673418,High Risk
Jharkhand,Jamtara,4450,33003.0,0.8651637729903342,High Risk
Jharkhand,Khunti,2644,21421.0,0.8765697213015265,High Risk
Jharkhand,Kodarma,310,3003.0,0.8967698967698967,High Risk
Jharkhand,Koderma,3222,24185.0,0.8667769278478396,High Risk
Jharkhand,Latehar,2609,38645.0,0.9324880320869453,High Risk
Jharkhand,Lohardaga,2959,17419.0,0.8301280211263563,High Risk
Jharkhand,Pakaur,297,3678.0,0.9192495921696574,High Risk
Jharkhand,Pakur,6924,45461.0,0.8476936275048943,High Risk
Jharkhand,Palamau,286,3686.0,0.9224091155724362,High Risk
Jharkhand,Palamu,8606,114051.0,0.9245425292193843,High Risk
Jharkhand,Pashchimi Singhbhum,599,9157.0,0.9345855629573004,High Risk
Jharkhand,Purbi Singhbhum,986,4866.0,0.7973695026715988,High Risk
Jharkhand,Ramgarh,2979,35460.0,0.915989847715736,High Risk
Jharkhand,Ranchi,14265,103653.0,0.8623773552140315,High Risk
Jharkhand,Sahebganj,6321,65749.0,0.9038616556905809,High Risk
Jharkhand,Sahibganj,365,2656.0,0.8625753012048193,High Risk
Jharkhand,Seraikela-Kharsawan,4250,34701.0,0.8775251433676263,High Risk
Jharkhand,Simdega,2079,26085.0,0.920299022426682,High Risk
Jharkhand,West Singhbhum,6848,59305.0,0.8845291290784926,High Risk
Karnataka,Bagalkot,7142,52661.0,0.8643778128026434,High Risk
Karnataka,Bagalkot *,249,1196.0,0.7918060200668896,High Risk
Karnataka,Ballari,2781,24399.0,0.8860199188491331,High Risk
Karnataka,Bangalore,7016,51842.0,0.8646657150572894,High Risk
Karnataka,Bangalore Rural,2644,48234.0,0.9451838951776755,High Risk
Karnataka,Belagavi,7805,54321.0,0.856317078109755,High Risk
Karnataka,Belgaum,6743,63022.0,0.8930056170860969,High Risk
Karnataka,Bellary,4220,27380.0,0.845872899926954,High Risk
